,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,SAM/GAM ratio
0,2021-07-01,Adan Yabaal,,17190.000000000004,4930.0,,710.0,0.2867946480511925,0.041303083187899936,0.1440162271805274
1,2021-07-01,Afgooye,,94444.6,43800.0,,8930.0,0.46376394203586013,0.09455278544247103,0.2038812785388128
2,2021-07-01,Afmadow,,46703.8,18290.0,,4150.0,0.3916169562219776,0.08885786595523276,0.2268999453253144
3,2021-07-01,Baardheere,,34453.399999999994,13330.0,,2230.0,0.38689940615439994,0.0647251069560624,0.16729182295573894
4,2021-07-01,Badhaadhe,,14272.6,5790.0,,1330.0,0.40567240726987375,0.09318554432969466,0.229706390328152
5,2021-07-01,Baidoa,,124149.8,56660.0,,10980.0,0.45638414238283104,0.08844154400570924,0.1937875044122838
6,2021-07-01,Baki,,11187.800000000005,3470.0,,640.0,0.31015928064498816,0.05720516991723124,0.1844380403458213
7,2021-07-01,Balcad,,66924.0,28430.0,,5720.0,0.4248102325025402,0.08547008547008547,0.20119591980302495
8,2021-07-01,Banadir,,536662.4,252820.0,,48480.0,0.4710969130686256,0.09033612192693209,0.19175698125148327
9,2021-07-01,Bandarbeyla,,8487.2,3520.0,,360.0,0.41474220001885187,0.042416815911018944,0.10227272727272728
10,2021-07-01,Baraawe,,10954.96872849647,5100.0,,1060.0,0.46554217783695645,0.09675974676611251,0.207843137254902
11,2021-07-01,Belet Weyne,,57552.2,17680.0,,3020.0,0.3071993772609909,0.05247410177195659,0.17081447963800905
12,2021-07-01,Belet Xaawo,,29314.599988469865,9820.0,,1310.0,0.33498666206813127,0.04468763007222525,0.1334012219959267
13,2021-07-01,Berbera,,32142.000000000004,8870.0,,1630.0,0.27596291456661065,0.0507124634434696,0.1837655016910936
14,2021-07-01,Borama,,73034.20000000001,20250.0,,3930.0,0.27726736241377326,0.05381040663141377,0.19407407407407407
15,2021-07-01,Bossaso,,134272.59999999998,57500.0,,8400.0,0.4282333104445733,0.06255930100407679,0.14608695652173914
16,2021-07-01,Bu'aale,,25271.000000000004,10130.0,,2490.0,0.4008547346761109,0.09853191405167978,0.2458045409674235
17,2021-07-01,Bulo Burto,,17041.2,5900.0,,1100.0,0.3462197497828791,0.06454944487477407,0.1864406779661017
18,2021-07-01,Burco,,88063.8,12080.0,,910.0,0.1371732766471581,0.010333417363320684,0.07533112582781458
19,2021-07-01,Burtinle,,22036.6,8930.0,,1150.0,0.40523492734813904,0.05218590889701678,0.12877939529675253
20,2021-07-01,Buuhoodle,,16480.0,3400.0,,380.0,0.20631067961165048,0.023058252427184466,0.11176470588235296
21,2021-07-01,Buur Hakaba,,34560.60000000001,14700.0,,3560.0,0.42533983785003715,0.10300747093511105,0.2421768707482993
22,2021-07-01,Cabudwaaq,,35884.8,14620.0,,2000.0,0.40741483859461386,0.055733904048510786,0.13679890560875513
23,2021-07-01,Cadaado,,23026.4,9210.0,,1250.0,0.39997568008894135,0.05428551575582809,0.13572204125950055
24,2021-07-01,Cadale,,13885.0,3990.0,,580.0,0.28736046092906015,0.04177169607490097,0.14536340852130325
25,2021-07-01,Caluula,,16168.600000000008,5560.0,,870.0,0.3438764024096086,0.053807998218769686,0.1564748201438849
26,2021-07-01,Caynabo,,16276.000000000005,3540.0,,270.0,0.2174981567952813,0.01658884246743671,0.07627118644067797
27,2021-07-01,Ceel Afweyn,,15731.000000000005,4090.0,,470.0,0.25999618587502377,0.029877312313266787,0.11491442542787285
28,2021-07-01,Ceel Barde,,14268.4,8470.0,,1630.0,0.593619466793754,0.114238457009896,0.19244391971664696
29,2021-07-01,Ceel Buur,,18385.4,6590.0,,810.0,0.3584365855515789,0.04405669716187845,0.1229135053110774
30,2021-07-01,Ceel Dheer,,17808.0,6000.0,,800.0,0.33692722371967654,0.044923629829290206,0.13333333333333333
31,2021-07-01,Ceel Waaq,,17519.2,6210.0,,920.0,0.3544682405589296,0.05251381341613772,0.14814814814814814
32,2021-07-01,Ceerigaabo,,30012.0,6740.0,,720.0,0.22457683593229374,0.023990403838464614,0.10682492581602374
33,2021-07-01,Dhuusamarreeb,,42409.999999437074,15100.0,,1910.0,0.3560481018674942,0.045036547984563836,0.12649006622516554
34,2021-07-01,Diinsoor,,29406.400000000005,12340.0,,2880.0,0.419636541705207,0.09793786386636921,0.23338735818476503
35,2021-07-01,Doolow,,17067.0,6000.0,,740.0,0.3515556336790297,0.043358528153746995,0.12333333333333335
36,2021-07-01,Eyl,,28766.514157815043,10380.0,,1110.0,0.36083621196001076,0.03858653133676416,0.1069364161849711
37,2021-07-01,Gaalkacyo,,139290.80000000002,52930.0,,8510.0,0.3799963816705769,0.06109520513917645,0.1607783865482713
38,2021-07-01,Galdogob,,31180.0,14260.0,,2110.0,0.4573444515715202,0.06767158434894163,0.1479663394109397
39,2021-07-01,Garbahaarey,,25083.4,8210.0,,1000.0,0.3273081001778068,0.039867003675737735,0.1218026796589525
40,2021-07-01,Garoowe,,56111.40000000001,21120.0,,1970.0,0.37639410173333754,0.035108730133270594,0.09327651515151517
41,2021-07-01,Gebiley,,35881.0,10320.0,,1890.0,0.28761740196761515,0.05267411722081324,0.18313953488372087
42,2021-07-01,Hargeysa,,176920.0,47350.0,,8550.0,0.26763508930590096,0.04832692742482478,0.1805702217529039
43,2021-07-01,Hobyo,,31703.2,9040.0,,1030.0,0.2851447172525171,0.032488833934744756,0.11393805309734513
44,2021-07-01,Iskushuban,,10180.400000000003,3630.0,,390.0,0.35656752190483665,0.038308907312089885,0.10743801652892562
