,Unnamed: 0,date,district_x,population,Under-Five Population,GAM,MAM,SAM,prevalence,SAM Prevalence,SAM/GAM ratio,district_y,level1_name,population_analysed,area_phase,phase1_n,phase1_perc,phase2_n,phase2_perc,phase3_n,phase3_perc,phase4_n,phase4_perc,phase5_n,phase5_perc,phase3plus_n,ipc,proj_population_analyzed,proj_area_phase,proj_analysis_period,proj_phase1_n,proj_phase1_perc,proj_phase2_n,proj_phase2_perc,proj_phase3_n,proj_phase3_perc,proj_phase4_n,proj_phase4_perc,proj_phase5_n,proj_phase5_perc,proj_phase3plus_n,proj_phase3plus_perc,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon,rainfall,ndvi,Price of water,Sorghum prices,Maize prices,New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Total alarms,covid,new_deaths,MAM_admissions,SAM_admissions,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district,district_encoded
10,637,2017-07-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999999,0.4356257436740676,0.0674154462044404,0.1547554229368048,Doolow,Gedo,41245.0,3.0,27222.0,0.66,4949.0,0.12,8661.0,0.21,825.0,0.02,0.0,0.0,9300.0,0.23,70367.0,3.0,Aug 2017 - Dec 2017,19703.0,0.28,22517.0,0.32,23221.0,0.33,4926.0,0.07,0.0,0.0,28146.0,0.4,8.0,0.0,656.0,975.0,0.0,0.0,0.0,0.0,390.0,0.0,18.89166666666667,0.18000000000000002,0.0,0.0,0.0,544.9398333333334,0.0,194.66666666666666,0.0,20.75,1.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3926,7,False,-0.043025743674067585,Doolow,45
11,636,2017-07-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588,0.1118,0.3115942028985507,Diinsoor,Bay,174932.0,3.0,82218.0,0.47,22741.0,0.13,40234.0,0.23,27989.0,0.16,0.0,0.0,69700.0,0.39,144645.0,2.0,Aug 2017 - Dec 2017,108484.0,0.75,31822.0,0.22,4339.0,0.03,0.0,0.0,0.0,0.0,4339.0,0.03,384.0,216.0,1.32,0.0,0.0,0.0,240.0,8.1,0.0,0.0,43.044999999999995,0.37166666666666665,38.291666666666664,6.883333333333333,8.095833333333333,539.5,0.0,352.0,1.0,0.0,1.1666666666666667,0.8333333333333334,9.333333333333334,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.2886000000000001,7,False,-0.07019999999999993,Diinsoor,44
12,635,2017-07-01,Dhuusamarreeb,166457.645,33291.528999999995,17555.47508,13450.048211599998,4105.4268684,0.5273255872387238,0.1233174621808448,0.2338545012135325,Dhuusamarreeb,Galgaduud,144407.0,3.0,64983.0,0.45,24549.0,0.17,34658.0,0.24,18773.0,0.13,0.0,0.0,54000.0,0.37,134133.0,3.0,Aug 2017 - Dec 2017,68408.0,0.51,37557.0,0.28,26827.0,0.2,1341.0,0.01,0.0,0.0,28167.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.686666666666667,0.18833333333333332,18.375,16.666666666666668,17.666666666666668,156.80383333333333,17.166666666666668,256.75,1.3333333333333333,113.33333333333333,2.0,8.75,5.166666666666667,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,9.0,0.0,0.4212,7,False,-0.10612558723872378,Dhuusamarreeb,43
13,634,2017-07-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.426347600001,0.4446,0.0949,0.2134502923976608,Ceerigaabo,Sanaag,205318.0,3.0,84180.0,0.41,51330.0,0.25,41064.0,0.2,28745.0,0.14,0.0,0.0,70400.0,0.34,186215.0,2.0,Aug 2017 - Dec 2017,108005.0,0.58,52140.0,0.28,26070.0,0.14,0.0,0.0,0.0,0.0,26070.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,0.13333333333333333,44.583333333333336,0.0,0.0,322.53566666666666,13.0,0.0,0.0,0.0,1.5,1.0,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.3367000000000001,7,False,-0.10789999999999988,Ceerigaabo,42
14,632,2017-07-01,Ceel Waaq,32041.53,6408.306000000001,2765.8248696,2349.2849796,416.53989000000007,0.4315999999999999,0.065,0.1506024096385542,Ceel Waaq,Gedo,60046.0,2.0,42633.0,0.71,8406.0,0.14,8406.0,0.14,0.0,0.0,0.0,0.0,8800.0,0.14,42841.0,1.0,Aug 2017 - Dec 2017,35558.0,0.83,7283.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.525,0.295,15.666666666666666,12.645833333333334,15.366666666666667,174.16666666666666,0.0,0.0,0.0,0.0,3.0,4.166666666666667,7.5,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,2.0,1.0,18.0,0.0,0.3925999999999998,7,False,-0.03900000000000009,Ceel Waaq,40
15,631,2017-07-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399998,3118.3673976,0.52,0.1196,0.23,Ceel Dheer,Galgaduud,109870.0,3.0,51639.0,0.47,17579.0,0.16,28566.0,0.26,13184.0,0.12,0.0,0.0,41000.0,0.38,103004.0,2.0,Aug 2017 - Dec 2017,57682.0,0.56,36051.0,0.35,9270.0,0.09,0.0,0.0,0.0,0.0,9270.0,0.09,90.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,19.483333333333334,0.19166666666666665,23.125,11.833333333333334,9.0,118.5,1.0,50.0,0.0,99.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4211999999999999,7,False,-0.09880000000000011,Ceel Dheer,39
16,633,2017-07-01,Ceel Buur,141229.88999999998,28245.978,14687.90856,11309.6895912,3378.2189688000003,0.52,0.1196,0.23,Ceel Buur,Galgaduud,83610.0,3.0,43477.0,0.52,11705.0,0.14,17558.0,0.21,10033.0,0.12,0.0,0.0,27700.0,0.33,75285.0,2.0,Aug 2017 - Dec 2017,36137.0,0.48,29361.0,0.39,9787.0,0.13,0.0,0.0,0.0,0.0,9787.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.718333333333334,0.19999999999999998,0.0,0.0,0.0,78.66666666666667,32.0,0.0,0.0,96.0,2.3333333333333335,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,0.4212,7,False,-0.0988,Ceel Buur,38
17,629,2017-07-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.2134502923976608,Ceel Afweyn,Sanaag,99950.0,3.0,39980.0,0.4,21989.0,0.22,22989.0,0.23,14993.0,0.15,0.0,0.0,37800.0,0.38,119190.0,2.0,Aug 2017 - Dec 2017,69130.0,0.58,30989.0,0.26,17879.0,0.15,1192.0,0.01,0.0,0.0,19069.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.371666666666668,0.135,45.0,12.354166666666666,13.25,97.72516666666667,13.666666666666666,0.0,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.3367,7,False,-0.1079,Ceel Afweyn,36
18,628,2017-07-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.2352941176470588,Caynabo,Sool,59080.0,3.0,19496.0,0.33,14179.0,0.24,17133.0,0.29,8271.0,0.14,0.0,0.0,25500.0,0.43,38883.0,3.0,Aug 2017 - Dec 2017,12443.0,0.32,9721.0,0.25,16720.0,0.43,0.0,0.0,0.0,0.0,16719.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83,0.15,0.0,0.0,0.0,262.907,2.5,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2911999999999999,7,False,-0.1508000000000001,Caynabo,35
19,627,2017-07-01,Caluula,67184.955,13436.991000000002,5450.043549600001,4541.702958000002,908.3405916000004,0.4056,0.0676,0.1666666666666666,Caluula,Bari,48986.0,3.0,21064.0,0.43,9307.0,0.19,15186.0,0.31,3429.0,0.07,0.0,0.0,18700.0,0.38,49878.0,2.0,Aug 2017 - Dec 2017,28430.0,0.57,21448.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.688333333333333,0.17166666666666666,20.0,0.0,0.0,146.389,0.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3432,7,False,-0.06240000000000001,Caluula,34
