date,district,rainfall,ndvi_score,Price of water,Sorghum prices,Maize prices,Red Rice prices,New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms
2021-12-01,Mogadishu,0.27,0.22,,9.95,13.95,13.5,10.271,160.0,937.0,,7.0,51.0,42.0,56300 - 56400,9900 - 10000,12
2021-12-01,Afgooye,2.33,0.35,,13.5,13.5,16,1.649,,22.0,,,47.0,26.0,400 - 500,3000 - 3100,7
2021-12-01,Bossaso,2.79,0.18,15.0,48.0,,28,1.257,,,,2.0,4.0,20.0,13700 - 13800,16200 - 16300,9
2021-12-01,Balcad,1.06,0.38,,15.0,13.0,17,442.0,14.0,,,,5.0,18.0,0 - 100,200 - 300,9
2021-12-01,Baydhaba,7.46,0.32,30.0,14.1,16.5,17,5.411,162.0,165.0,,44.0,13.0,14.0,4200 - 4300,6500 - 6500,14
2021-12-01,Laas Caanood,1.85,0.14,80.0,,,32,562.0,,,,,7.0,14.0,1300 - 1400,1000 - 1100,5
2021-12-01,Belet Weyne,0.69,0.2,25.0,22.125,17.25,18,2.213,1.0,8.0,,,13.0,13.0,1600 - 1700,1600 - 1700,10
2021-12-01,Kismaayo,80.7,0.57,52.0,,17.5,15,1.104,20.0,,,,22.0,13.0,15000 - 15100,1200 - 1300,8
2021-12-01,Waajid,1.78,0.22,,17.0,17.0,41,639.0,,,,,4.0,12.0,,1200 - 1300,8
2021-12-01,Marka,5.26,0.49,52.0,14.0,12.5,16,757.0,9.0,3.0,,1.0,29.0,12.0,300 - 400,600 - 700,8
2021-12-01,Cabudwaaq,0.91,0.19,20.0,26.0,18.0,31.2,394.0,,,,,4.0,8.0,,,7
2021-12-01,Jowhar,5.0,0.37,14.0,11.5,10.125,17,1.322,20.0,31.0,,2.0,17.0,8.0,1300 - 1400,1400 - 1500,9
2021-12-01,Buur Hakaba,3.52,0.4,,11.75,14.0,18,123.0,,,,,2.0,4.0,,1900 - 2000,10
2021-12-01,Diinsoor,7.56,0.38,35.0,12.75,15.75,29,,,,,,2.0,3.0,200 - 300,3400 - 3400,10
2021-12-01,Garbahaarey,6.11,0.28,,,,,1.606,,,,3.0,2.0,3.0,300 - 400,400 - 500,4
2021-12-01,Afmadow,61.38,0.47,20.0,,14.0,20,885.0,,,,,10.0,3.0,2500 - 2600,600 - 700,6
2021-12-01,Owdweyne,2.73,0.18,,,,,39.0,,,,,2.0,3.0,,0 - 100,2
2021-12-01,Buuhoodle,3.42,0.19,,,,,108.0,,,,,4.0,2.0,1000 - 1100,1200 - 1300,2
2021-12-01,Cadaado,0.54,0.18,,,,,255.0,28.0,,,,1.0,1.0,,0 - 100,3
2021-12-01,Xudur,0.7,0.23,30.0,19.5,29.0,30,1.308,4.0,,,,3.0,0.0,1000 - 1100,2900 - 3000,7
2021-12-01,Qansax Dheere,6.62,0.36,30.0,13.75,15.875,26,467.0,16.0,,,19.0,1.0,0.0,300 - 400,19400 - 19500,12
2021-12-01,Dhuusamarreeb,0.65,0.19,10.0,25.25,23.5,26,501.0,,,,,5.0,0.0,500 - 600,500 - 600,4
2021-12-01,Baardheere,37.68,0.4,8.0,18.0,19.0,19.5,14.0,,,,,3.0,0.0,,300 - 400,6
2021-12-01,Belet Xaawo,4.89,0.31,22.0,20.25,20.75,19.75,1.107,,,,,1.0,0.0,600 - 700,0 - 100,8
2021-12-01,Ceel Waaq,20.16,0.38,15.5,15.5,16.25,23.5,284.0,,,,,1.0,0.0,,800 - 900,8
2021-12-01,Doolow,1.26,0.22,,,,,1.21,,,,,1.0,0.0,2400 - 2500,0 - 100,0
2021-12-01,Bulo Burto,2.21,0.21,13.0,17.0,14.0,22,,50.0,11.0,,,1.0,0.0,400 - 500,400 - 500,6
2021-12-01,Badhaadhe,84.26,0.63,,,,,264.0,,2.0,,,9.0,0.0,500 - 600,600 - 700,0
2021-12-01,Baraawe,2.57,0.29,,,15.0,18,207.0,,,,,5.0,0.0,,100 - 200,6
2021-12-01,Qoryooley,9.59,0.53,16.667,12.0,11.5,17,100.0,,5.0,,,2.0,0.0,,5300 - 5400,7
2021-12-01,Xudun,1.84,0.14,,,,34,126.0,,,,,1.0,0.0,700 - 800,400 - 500,2
2021-12-01,Hargeysa,1.67,0.18,10.0,5.0,6.0,6.75,1.979,,,,,1.0,0.0,100 - 200,0 - 100,2
2021-12-01,Gebiley,2.42,0.21,10.0,5.375,,8.375,1.002,,,,,1.0,0.0,0 - 100,,4
2021-12-01,Borama,15.71,0.2,5.0,4.625,4.625,6.5,1.503,,,,,,,100 - 200,100 - 200,5
2021-12-01,Baki,9.36,0.16,,,,,292.0,,,,,,,0 - 100,0 - 100,1
2021-12-01,Lughaye,8.62,0.12,,8.0,,7,649.0,,,,,,,0 - 100,0 - 100,3
2021-12-01,Zeylac,9.74,0.13,5.0,6.75,,8,668.0,,,,,,,0 - 100,0 - 100,2
2021-12-01,Ceel Barde,0.66,0.21,42.5,35.0,35.0,40,286.0,,,,,,,800 - 900,800 - 900,6
2021-12-01,Tayeeglow,1.08,0.25,,13.5,13.5,19.5,,,,,,,,,200 - 300,6
2021-12-01,Rab Dhuure,1.21,0.16,,,,,108.0,,,,,,,,0 - 100,0
2021-12-01,Bandarbeyla,8.62,0.15,36.0,,,36,2.069,,,,,,,100 - 200,200 - 300,5
2021-12-01,Caluula,15.68,0.27,36.0,,,36,54.0,,,,,,,,100 - 200,3
2021-12-01,Iskushuban,3.95,0.17,39.0,,,34,61.0,,,,2.0,,,300 - 300,200 - 300,3
2021-12-01,Qandala,9.43,0.23,,,,,68.0,,,,,,,,200 - 300,0
2021-12-01,Qardho,1.97,0.15,,,,,1.277,,,,,,,2600 - 2700,600 - 700,1
2021-12-01,Ceel Buur,3.67,0.2,,,,,,,,,,,,,0 - 100,0
2021-12-01,Ceel Dheer,5.94,0.24,13.0,13.875,,18.5,,,,,,,,,,3
2021-12-01,Luuq,2.42,0.18,8.0,17.0,16.5,24,1.627,,,,,,,700 - 800,1700 - 1800,7
2021-12-01,Jalalaqsi,2.73,0.29,,17.5,13.5,23,,,5.0,,,,,,100 - 200,5
2021-12-01,Jamaame,17.78,0.36,10.0,,14.0,18,,,,,,,,4200 - 4300,18000 - 18100,6
2021-12-01,Kurtunwaarey,4.81,0.57,,,12.0,18,,,,,,,,,4300 - 4400,4
2021-12-01,Sablaale,5.07,0.56,,,,,,,,,,,,,2200 - 2300,1
2021-12-01,Wanla Weyn,4.35,0.32,6.5,12.0,12.0,15.5,581.0,,,,,,,100 - 200,1200 - 1300,5
2021-12-01,Bu'aale,11.82,0.53,50.0,17.0,18.0,20,,,,,,,,,300 - 400,9
2021-12-01,Jilib,15.26,0.5,50.0,,15.0,18.667,,,,,,,,0 - 100,500 - 600,7
2021-12-01,Saakow,23.6,0.42,45.0,16.0,17.0,19,,,,,,,,600 - 700,1000 - 1100,7
2021-12-01,Adan Yabaal,0.42,0.28,15.25,23.0,,33.25,,,,,,,,200 - 300,200 - 300,5
2021-12-01,Cadale,9.13,0.31,,17.0,16.0,18,97.0,,10.0,,,,,200 - 300,300 - 400,4
2021-12-01,Gaalkacyo,1.21,0.17,34.75,19.75,14.75,29.5,1.108,30.0,,,,,,300 - 400,1000 - 1100,6
2021-12-01,Galdogob,3.0,0.18,,,,,125.0,,,,,,,300 - 400,500 - 600,0
2021-12-01,Hobyo,3.16,0.18,,39.0,54.0,33,211.0,,,,,,,1300 - 1400,700 - 800,3
2021-12-01,Jariiban,2.12,0.22,,,,32,75.0,,,,,,,0 - 100,0 - 100,1
2021-12-01,Xarardheere,10.75,0.21,7.25,9.833,13.25,17.25,,,,,,,,,,2
2021-12-01,Garoowe,0.35,0.14,22.0,45.5,44.0,29,356.0,,,,,,,100 - 100,300 - 400,6
2021-12-01,Burtinle,0.82,0.17,,,,30.5,134.0,,,,,,,500 - 600,100 - 200,1
2021-12-01,Eyl,1.99,0.19,,,,32,61.0,,,,,,,700 - 800,0 - 100,1
2021-12-01,Ceerigaabo,2.43,0.16,50.0,,,22.75,314.0,,,,,,,800 - 900,700 - 800,4
2021-12-01,Ceel Afweyn,3.37,0.16,,,,7.75,40.0,,,,,,,0 - 100,100 - 200,2
2021-12-01,Laasqoray,4.16,0.19,,,,,108.0,,,,,,,300 - 400,500 - 600,0
2021-12-01,Caynabo,2.0,0.16,,,,,686.0,,,,,,,500 - 600,200 - 300,1
2021-12-01,Taleex,0.29,0.14,,,,,193.0,,,,,,,,0 - 100,1
2021-12-01,Burco,2.06,0.19,10.0,6.4,6.35,5.5,637.0,,,,,,,400 - 500,400 - 500,5
2021-12-01,Sheikh,8.62,0.25,,,,,,,,,,,,,,0
2021-12-01,Berbera,4.2,0.14,,,,,7.0,,,,,,,100 - 200,100 - 200,0
2021-11-01,Borama,5.36,0.24,5.0,4.5,4.5,6,1.642,,,,,,,300 - 400,200 - 300,5
2021-11-01,Baki,5.43,0.17,,,,,371.0,,,,,,,100 - 200,0 - 100,2
2021-11-01,Lughaye,5.5,0.12,,7.0,,6.5,577.0,,,,,,,0 - 100,100 - 200,3
2021-11-01,Zeylac,7.54,0.13,5.0,5.4,,6.76,351.0,,,,,,,0 - 100,0 - 100,1
2021-11-01,Hargeysa,4.94,0.2,10.0,5.12,6.0,7,2.698,,,,,1.0,0.0,100 - 200,0 - 100,6
2021-11-01,Berbera,5.42,0.14,,,,,59.0,,,,,,,,0 - 100,1
2021-11-01,Gebiley,4.97,0.24,10.0,6.0,,8.3,1.308,,,,,,,0 - 100,,5
2021-11-01,Burco,4.6,0.2,10.0,6.26,6.28,5.4,459.0,,,,,,,0 - 100,0 - 100,5
2021-11-01,Buuhoodle,2.87,0.2,,,,,111.0,,,,,1.0,0.0,0 - 100,0 - 100,1
2021-11-01,Owdweyne,5.53,0.19,,,,,130.0,,,,,,,,0 - 100,1
2021-11-01,Sheikh,5.09,0.29,,,,,46.0,,,,,,,,,2
2021-11-01,Laas Caanood,2.58,0.15,80.0,,,33.6,367.0,,,,,1.0,0.0,300 - 400,400 - 500,4
2021-11-01,Caynabo,3.51,0.18,,,,,654.0,,,,,,,100 - 200,100 - 200,2
2021-11-01,Taleex,2.57,0.16,,,,,208.0,,,,,,,,0 - 100,1
2021-11-01,Xudun,2.97,0.15,,,,33.6,108.0,,,,,,,,0 - 100,3
2021-11-01,Ceerigaabo,2.67,0.19,50.0,,,22,458.0,,,,,,,1000 - 1100,1000 - 1100,4
2021-11-01,Ceel Afweyn,3.03,0.18,,,,8,63.0,,,,,,,0 - 100,100 - 200,1
2021-11-01,Laasqoray,2.12,0.21,,,,,49.0,,,,,,,1800 - 1900,0 - 100,0
2021-11-01,Bossaso,1.49,0.18,15.0,42.0,,29.2,1.997,,,,,,,700 - 800,0 - 100,5
2021-11-01,Bandarbeyla,7.38,0.15,36.0,,,35.6,8.0,,,,,,,200 - 300,300 - 400,3
2021-11-01,Caluula,22.55,0.21,36.0,,,36,241.0,,,,,,,,200 - 300,3
2021-11-01,Iskushuban,10.56,0.17,38.4,,,33.6,715.0,,,,,1.0,0.0,900 - 1000,100 - 200,4
2021-11-01,Qandala,3.73,0.22,,,,,53.0,,,,,,,0 - 100,300 - 400,0
2021-11-01,Qardho,2.29,0.16,,,,,54.0,,,,,,,5200 - 5300,800 - 900,1
2021-11-01,Garoowe,2.15,0.14,22.0,44.0,43.2,28.6,189.0,,,,,1.0,0.0,100 - 200,800 - 900,6
2021-11-01,Burtinle,3.08,0.19,,,,28.8,417.0,,,,,,,,600 - 700,1
2021-11-01,Eyl,6.95,0.17,,,,31.2,86.0,,,,,,,,400 - 500,1
2021-11-01,Gaalkacyo,4.33,0.2,33.2,19.0,14.0,27.4,1.399,94.0,15.0,,,2.0,0.0,3100 - 3200,3300 - 3400,6
2021-11-01,Galdogob,3.61,0.22,,,,,256.0,,,,,,,300 - 400,300 - 400,1
2021-11-01,Hobyo,5.86,0.2,,39.0,54.0,33,665.0,,,,,,,700 - 800,700 - 800,5
2021-11-01,Jariiban,6.77,0.17,,46.0,,30.6,71.0,,,,,,,100 - 200,4700 - 4800,3
2021-11-01,Xarardheere,11.45,0.26,6.4,8.9,13.0,17.4,,,,,,,,,0 - 100,2
2021-11-01,Dhuusamarreeb,4.65,0.3,10.0,24.8,24.2,26.4,2.981,,28.0,,1.0,6.0,7.0,78500 - 78600,78400 - 78500,10
2021-11-01,Cabudwaaq,3.7,0.3,20.0,21.32,18.0,31.2,894.0,,,,,4.0,6.0,,,9
2021-11-01,Cadaado,3.92,0.24,,,,,113.0,35.0,1.0,,1.0,,,0 - 100,0 - 100,2
2021-11-01,Ceel Buur,6.04,0.31,,,,,,,,,,,,,0 - 100,1
2021-11-01,Ceel Dheer,13.04,0.34,13.0,13.9,13.0,18.6,,,,,,,,,0 - 100,4
2021-11-01,Belet Weyne,4.52,0.33,25.0,19.0,16.8,18,3.22,,5.0,,,7.0,1.0,,0 - 100,9
2021-11-01,Bulo Burto,9.89,0.46,12.0,16.0,14.0,21,900.0,65.0,61.0,,,1.0,0.0,,0 - 100,6
2021-11-01,Jalalaqsi,14.15,0.45,,18.0,14.0,24,491.0,,,,,2.0,5.0,,0 - 100,7
2021-11-01,Jowhar,18.69,0.51,16.0,10.6,8.9,16.4,864.0,16.0,27.0,,,10.0,7.0,300 - 400,400 - 500,9
2021-11-01,Adan Yabaal,15.9,0.45,15.4,23.0,,34.6,,,,,,,,100 - 200,200 - 300,5
2021-11-01,Balcad,35.35,0.41,,8.0,11.0,16,633.0,44.0,31.0,,,1.0,1.0,100 - 200,100 - 200,8
2021-11-01,Cadale,22.82,0.43,,15.5,14.0,18,62.0,,,,,,,0 - 100,0 - 100,6
2021-11-01,Mogadishu,42.91,0.22,,10.08,11.96,12.4,17.511,319.0,283.0,,11.0,52.0,40.0,24600 - 24700,9100 - 9200,9
2021-11-01,Marka,27.55,0.41,52.0,12.8,11.8,16,535.0,75.0,1.0,,7.0,17.0,13.0,300 - 400,1500 - 1600,8
2021-11-01,Afgooye,42.86,0.36,,12.0,11.2,16,2.135,,,,,27.0,19.0,400 - 500,1900 - 2000,6
2021-11-01,Baraawe,25.98,0.28,,,13.875,19.25,333.0,,,,,7.0,8.0,0 - 100,100 - 200,9
2021-11-01,Kurtunwaarey,36.58,0.51,,,12.125,18,,,,,,,,100 - 200,2700 - 2800,4
2021-11-01,Qoryooley,35.05,0.46,16.0,11.9,11.0,17,166.0,,,,,4.0,0.0,100 - 200,1000 - 1100,6
2021-11-01,Sablaale,46.16,0.5,,,,,,,,,,,,0 - 100,1400 - 1500,1
2021-11-01,Wanla Weyn,25.02,0.44,6.1,9.6,9.6,15.2,735.0,,3.0,,,1.0,4.0,100 - 200,1300 - 1400,11
2021-11-01,Baydhaba,24.23,0.6,29.0,11.24,13.06,16.6,2.498,189.0,33.0,,63.0,17.0,15.0,300 - 400,2400 - 2500,12
2021-11-01,Buur Hakaba,35.44,0.54,,9.9,12.0,18,558.0,8.0,9.0,,12.0,,,,1200 - 1200,8
2021-11-01,Diinsoor,58.02,0.44,35.0,9.7,12.0,29.2,349.0,9.0,,,,1.0,0.0,400 - 500,4000 - 4100,8
2021-11-01,Qansax Dheere,37.54,0.43,31.0,10.4,12.1,27,1.163,6.0,20.0,,55.0,2.0,0.0,200 - 300,1500 - 1600,11
2021-11-01,Xudur,4.0,0.47,33.0,19.5,27.2,30,1.616,,,,1.0,10.0,6.0,1000 - 1100,1500 - 1600,10
2021-11-01,Ceel Barde,3.81,0.39,40.0,35.0,35.0,40,191.0,,,,,,,700 - 800,700 - 800,6
2021-11-01,Tayeeglow,12.08,0.62,,12.0,12.0,18,,,,,,,,,0 - 100,5
2021-11-01,Waajid,10.15,0.4,,15.8,15.8,40.2,1.465,,,,,3.0,0.0,,1000 - 1100,6
2021-11-01,Rab Dhuure,6.05,0.22,,,,,256.0,,,,,,,,200 - 300,1
2021-11-01,Garbahaarey,28.18,0.32,,,,,1.555,,,,,4.0,4.0,300 - 400,2100 - 2200,4
2021-11-01,Baardheere,79.63,0.32,8.0,16.6,17.2,19.4,325.0,,,,,1.0,2.0,2500 - 2600,1000 - 1100,9
2021-11-01,Belet Xaawo,29.71,0.35,22.0,20.0,20.2,19.2,1.591,,,,,2.0,2.0,2000 - 2100,400 - 500,10
2021-11-01,Ceel Waaq,62.13,0.37,15.0,15.2,15.2,23,534.0,,,,,,,200 - 300,1700 - 1800,7
2021-11-01,Doolow,14.91,0.21,,,,,1.442,,1.0,,,,,2000 - 2100,,2
2021-11-01,Luuq,13.8,0.22,8.0,15.0,15.0,24.8,1.292,,,,6.0,,,3200 - 3300,100 - 200,8
2021-11-01,Bu'aale,63.86,0.47,50.0,15.75,16.0,20,,,,,,,,0 - 100,800 - 900,9
2021-11-01,Jilib,42.04,0.41,50.0,,15.333,19,,,,,,,,100 - 200,400 - 500,8
2021-11-01,Saakow,79.86,0.32,50.0,15.5,15.667,20,,,,,,,,1300 - 1400,2400 - 2500,9
2021-11-01,Kismaayo,49.68,0.32,56.8,,17.0,18.6,611.0,1.0,1.0,,3.0,6.0,2.0,1300 - 1400,1000 - 1100,9
2021-11-01,Afmadow,85.49,0.35,20.0,,14.0,20,447.0,,,,,4.0,7.0,5400 - 5500,1600 - 1700,8
2021-11-01,Badhaadhe,65.36,0.41,,,,,345.0,,,,,7.0,0.0,200 - 300,400 - 500,2
2021-11-01,Jamaame,33.35,0.31,10.0,,11.72,21.2,,,,,,1.0,0.0,100 - 200,700 - 800,6
2021-10-01,Borama,38.87,0.28,5.0,4.625,4.625,6.125,751.0,,,,,,,100 - 200,100 - 200,3
2021-10-01,Baki,55.31,0.18,,,,,193.0,,,,,,,0 - 100,0 - 100,0
2021-10-01,Lughaye,47.17,0.11,,7.0,6.5,6.5,751.0,,,,,,,0 - 100,0 - 100,1
2021-10-01,Zeylac,30.14,0.12,5.0,5.0,,8,423.0,,,,,,,0 - 100,0 - 100,1
2021-10-01,Hargeysa,47.16,0.25,10.0,5.0,6.0,7,2.03,,,,,1.0,0.0,100 - 200,0 - 100,5
2021-10-01,Berbera,104.0,0.14,,,,,140.0,,,,,,,,0 - 100,0
2021-10-01,Gebiley,47.66,0.31,10.0,5.875,,7.625,1.393,,,,,,,0 - 100,,5
2021-10-01,Burco,35.67,0.25,10.0,6.375,6.0,5.375,591.0,,,,,1.0,1.0,100 - 200,100 - 200,7
2021-10-01,Buuhoodle,35.9,0.27,,,,,34.0,,,,,,,200 - 300,200 - 300,1
2021-10-01,Owdweyne,34.28,0.24,,,,,96.0,,,,,,,,0 - 100,0
2021-10-01,Sheikh,89.25,0.31,,,,,28.0,,,,,,,,0 - 100,1
2021-10-01,Laas Caanood,27.22,0.2,75.0,,,32,537.0,,,,,1.0,1.0,300 - 400,5100 - 5200,7
2021-10-01,Caynabo,37.84,0.24,,,,,310.0,,,,,,,100 - 200,100 - 200,0
2021-10-01,Taleex,19.6,0.18,,,,,194.0,,,,,,,0 - 100,0 - 100,1
2021-10-01,Xudun,22.08,0.2,,,,32.625,98.0,,,,,,,100 - 200,,1
2021-10-01,Ceerigaabo,28.17,0.21,50.0,,,22,512.0,,,,,,,500 - 600,900 - 1000,3
2021-10-01,Ceel Afweyn,51.13,0.21,,,,8,53.0,,,,,,,0 - 100,100 - 200,1
2021-10-01,Laasqoray,21.32,0.21,,,,,31.0,,,,,,,500 - 600,500 - 600,0
2021-10-01,Bossaso,20.87,0.18,15.0,39.0,,28,1.773,,,,,2.0,2.0,600 - 700,0 - 100,7
2021-10-01,Bandarbeyla,8.2,0.15,36.0,,,32.5,8.0,,,,,,,0 - 100,300 - 400,4
2021-10-01,Caluula,6.4,0.2,36.0,,,36,153.0,,,,,,,,100 - 200,3
2021-10-01,Iskushuban,6.03,0.16,32.0,,,32,40.0,,,,,2.0,2.0,200 - 300,100 - 200,4
2021-10-01,Qandala,21.01,0.22,,,,,72.0,,,,,,,,100 - 200,0
2021-10-01,Qardho,15.38,0.17,,,,,48.0,,,,,,,1900 - 2000,1000 - 1100,0
2021-10-01,Garoowe,20.92,0.16,21.5,42.0,41.0,27.25,162.0,,,,,1.0,0.0,300 - 400,400 - 500,7
2021-10-01,Burtinle,22.17,0.19,,,,28,319.0,,,,,,,600 - 600,0 - 100,2
2021-10-01,Eyl,13.06,0.16,,,30.0,30,322.0,,,,,,,,100 - 200,2
2021-10-01,Gaalkacyo,18.27,0.18,32.0,19.0,14.0,28,760.0,30.0,1.0,,,1.0,0.0,1400 - 1500,1300 - 1400,6
2021-10-01,Galdogob,21.48,0.19,,,,,257.0,,,,,,,300 - 400,300 - 400,1
2021-10-01,Hobyo,9.39,0.16,,39.0,54.0,,82.0,3.0,,,,1.0,1.0,1100 - 1200,1200 - 1300,6
2021-10-01,Jariiban,15.17,0.16,,,,30,36.0,,,,,,,0 - 100,0 - 100,2
2021-10-01,Xarardheere,15.8,0.18,7.25,9.5,13.25,18,,,,,,,,,0 - 100,2
2021-10-01,Dhuusamarreeb,10.24,0.21,10.0,24.0,25.25,28,1.265,,76.0,,4.0,15.0,21.0,100400 - 100500,113500 - 113600,10
2021-10-01,Cabudwaaq,21.43,0.21,23.333,18.2,18.0,28.6,,,,,,4.0,3.0,,,6
2021-10-01,Cadaado,18.02,0.19,,,,,,16.0,2.0,,,,,0 - 100,100 - 200,2
2021-10-01,Ceel Buur,13.17,0.2,,,,,,,,,,,,,,1
2021-10-01,Ceel Dheer,37.84,0.18,13.0,13.5,,18,,,,,,,,,,4
2021-10-01,Belet Weyne,11.06,0.21,25.0,17.0,15.0,17,4.55,13.0,,,12.0,5.0,4.0,14300 - 14400,200 - 300,11
2021-10-01,Bulo Burto,18.85,0.24,12.0,15.0,13.25,20,,66.0,,,,3.0,1.0,0 - 100,100 - 200,8
2021-10-01,Jalalaqsi,31.65,0.25,,15.75,14.0,22,,1.0,,,,2.0,1.0,100 - 200,100 - 200,5
2021-10-01,Jowhar,32.2,0.31,16.0,10.5,9.125,16.25,499.0,18.0,,,,8.0,0.0,900 - 1000,1100 - 1200,8
2021-10-01,Adan Yabaal,35.94,0.2,20.0,23.0,,38,,,,,,,,0 - 100,0 - 100,5
2021-10-01,Balcad,31.26,0.35,,8.0,9.0,17,384.0,36.0,10.0,,,4.0,7.0,300 - 400,400 - 500,8
2021-10-01,Cadale,33.92,0.24,,16.0,15.0,16,189.0,,,,,2.0,0.0,100 - 200,100 - 200,3
2021-10-01,Mogadishu,15.39,0.23,,9.3,11.475,12.75,10.37,192.0,10.0,,21.0,36.0,65.0,12100 - 12200,9000 - 9100,12
2021-10-01,Marka,7.52,0.47,52.75,10.5,9.3,16,551.0,75.0,,,,24.0,34.0,600 - 700,500 - 600,10
2021-10-01,Afgooye,21.02,0.29,,11.0,10.0,15.25,1.982,,,,,36.0,31.0,2200 - 2300,2700 - 2800,8
2021-10-01,Baraawe,11.2,0.38,,,11.5,18.75,385.0,,,,,5.0,4.0,,0 - 100,6
2021-10-01,Kurtunwaarey,18.49,0.47,,,9.45,18,,,,,,1.0,2.0,,100 - 200,8
2021-10-01,Qoryooley,17.96,0.44,15.0,11.125,8.125,16.5,184.0,,,,,2.0,0.0,0 - 100,100 - 200,8
2021-10-01,Sablaale,22.23,0.46,,,,,,,,,,,,,200 - 300,1
2021-10-01,Wanla Weyn,30.57,0.24,6.375,8.0,8.0,15.5,411.0,,5.0,,,1.0,0.0,100 - 200,400 - 500,5
2021-10-01,Baydhaba,33.31,0.31,25.0,10.1,11.5,16.75,2.441,168.0,42.0,,71.0,9.0,4.0,1800 - 1900,400 - 500,10
2021-10-01,Buur Hakaba,26.19,0.29,,8.0,10.0,18,551.0,4.0,,,,1.0,3.0,,100 - 200,11
2021-10-01,Diinsoor,19.28,0.3,40.0,8.825,9.5,28,395.0,,,,,,,300 - 400,700 - 800,8
2021-10-01,Qansax Dheere,38.46,0.24,35.0,8.0,9.375,24.75,405.0,10.0,39.0,,88.0,,,400 - 500,200 - 300,10
2021-10-01,Xudur,30.06,0.24,36.25,19.375,22.5,30,875.0,,,,1.0,5.0,2.0,300 - 400,500 - 600,9
2021-10-01,Ceel Barde,20.29,0.24,41.25,35.0,35.0,40,,,,,,,,200 - 300,200 - 300,7
2021-10-01,Tayeeglow,16.35,0.31,,9.75,10.0,18,,,,,,,,,100 - 200,5
2021-10-01,Waajid,31.23,0.23,,14.0,14.0,40,575.0,,,,,4.0,0.0,300 - 400,900 - 1000,5
2021-10-01,Rab Dhuure,21.2,0.17,,,,,60.0,,,,,,,,0 - 100,1
2021-10-01,Garbahaarey,22.14,0.22,,,,,1.424,,,,,1.0,0.0,0 - 100,400 - 500,2
2021-10-01,Baardheere,20.59,0.25,8.0,13.75,14.0,19,314.0,,,,,4.0,1.0,200 - 300,600 - 700,9
2021-10-01,Belet Xaawo,13.61,0.24,22.0,20.0,20.0,19.75,1.039,,,,,2.0,0.0,500 - 600,100 - 200,7
2021-10-01,Ceel Waaq,16.16,0.27,14.5,15.25,15.5,22.5,247.0,,,,,1.0,0.0,100 - 200,600 - 700,7
2021-10-01,Doolow,9.68,0.17,,,,,660.0,,,,,,,200 - 300,0 - 100,1
2021-10-01,Luuq,16.79,0.17,8.0,14.0,14.0,23,,,,,,,,900 - 1000,200 - 300,7
2021-10-01,Bu'aale,17.58,0.37,47.5,14.875,14.75,20,,,,,,,,0 - 100,500 - 600,9
2021-10-01,Jilib,15.78,0.39,50.0,,14.5,18,,,,,,,,,300 - 400,8
2021-10-01,Saakow,18.78,0.27,47.5,15.0,15.0,19.5,,,,,,,,700 - 800,500 - 600,10
2021-10-01,Kismaayo,17.95,0.33,52.0,,17.0,20,577.0,3.0,1.0,,,11.0,8.0,500 - 600,100 - 200,9
2021-10-01,Afmadow,19.61,0.32,20.0,,14.0,20,582.0,,,,,10.0,2.0,3900 - 4000,800 - 900,7
2021-10-01,Badhaadhe,18.17,0.45,,,,,1.438,,,,,11.0,4.0,300 - 400,600 - 700,4
2021-10-01,Jamaame,9.52,0.33,10.0,,11.65,21,,,,,,2.0,4.0,300 - 400,500 - 600,7
2021-09-01,Borama,11.88,0.29,5.0,4.75,4.5,6,1.524,,,,,,,200 - 300,200 - 300,6
2021-09-01,Baki,87.79,0.17,,,,,429.0,,,,,,,100 - 200,100 - 200,1
2021-09-01,Lughaye,29.61,0.11,,7.25,,6.875,919.0,,,,,,,0 - 100,0 - 100,3
2021-09-01,Zeylac,7.56,0.12,5.0,5.0,,9,427.0,,,,,,,0 - 100,0 - 100,1
2021-09-01,Hargeysa,19.26,0.22,10.0,5.0,6.0,7,2.798,,,,,1.0,0.0,200 - 300,100 - 200,7
2021-09-01,Berbera,65.89,0.12,,,,,122.0,,,,,,,,,0
2021-09-01,Gebiley,11.9,0.32,10.0,5.875,,8.375,955.0,,,,,,,0 - 100,0 - 100,7
2021-09-01,Burco,68.54,0.2,10.0,5.8,5.825,5,525.0,,,,,,,0 - 100,100 - 200,2
2021-09-01,Buuhoodle,39.56,0.2,,,,,22.0,,,,,,,0 - 100,0 - 100,0
2021-09-01,Owdweyne,20.14,0.2,,,,,121.0,,,,,,,,0 - 100,1
2021-09-01,Sheikh,57.65,0.21,,,,,18.0,,,,,1.0,0.0,,,0
2021-09-01,Laas Caanood,59.23,0.14,80.0,,,31.25,980.0,2.0,,,,3.0,1.0,200 - 300,300 - 400,6
2021-09-01,Caynabo,11.83,0.17,,,,,629.0,,,,,,,100 - 200,100 - 200,2
2021-09-01,Taleex,31.99,0.13,,,,,172.0,,,,,,,0 - 100,100 - 200,1
2021-09-01,Xudun,15.52,0.15,,,,25.25,46.0,,,,,1.0,1.0,100 - 200,0 - 100,3
