date,district,MAM_admissions,SAM_admissions
2020-12-01,Baidoa,1776.0,1432.0
2021-01-01,Baidoa,2167.0,1590.0
2021-02-01,Baidoa,1443.0,1392.0
2021-03-01,Baidoa,1254.0,1562.0
2021-04-01,Baidoa,2364.0,1741.0
2021-05-01,Baidoa,771.0,1816.0
2021-06-01,Baidoa,2810.0,2175.0
2021-07-01,Baidoa,4251.0,1287.0
2021-08-01,Baidoa,2217.0,1605.0
2021-09-01,Baidoa,1309.0,1695.0
2021-10-01,Baidoa,1872.0,1190.0
2021-11-01,Baidoa,819.0,1679.0
2019-01-01,Baki,0.0,17.0
2019-02-01,Baki,0.0,51.0
2019-03-01,Baki,0.0,47.0
2019-04-01,Baki,0.0,61.0
2019-05-01,Baki,0.0,60.0
2019-06-01,Baki,0.0,68.0
2019-07-01,Baki,0.0,2.0
2019-08-01,Baki,0.0,5.0
2019-09-01,Baki,161.0,15.0
2019-10-01,Baki,529.0,63.0
2019-11-01,Baki,443.0,64.0
2019-12-01,Baki,211.0,17.0
2020-01-01,Baki,453.0,34.0
2020-02-01,Baki,275.0,14.0
2020-03-01,Baki,261.0,26.0
2020-04-01,Baki,215.0,48.0
2020-05-01,Baki,303.0,35.0
2020-06-01,Baki,192.0,37.0
2020-07-01,Baki,483.0,39.0
2020-08-01,Baki,316.0,10.0
2020-09-01,Baki,731.0,20.0
2020-10-01,Baki,285.0,47.0
2020-11-01,Baki,144.0,76.0
2020-12-01,Baki,296.0,24.0
2021-01-01,Baki,494.0,10.0
2021-02-01,Baki,332.0,6.0
2021-03-01,Baki,242.0,44.0
2021-04-01,Baki,422.0,54.0
2021-05-01,Baki,322.0,20.0
2021-06-01,Baki,304.0,97.0
2021-07-01,Baki,429.0,29.0
2021-08-01,Baki,504.0,77.0
2021-09-01,Baki,392.0,82.0
2021-10-01,Baki,223.0,26.0
2021-11-01,Baki,345.0,26.0
2019-01-01,Balcad,271.0,29.0
2019-02-01,Balcad,444.0,690.0
2019-03-01,Balcad,956.0,470.0
2019-04-01,Balcad,526.0,930.0
2019-05-01,Balcad,2247.0,658.0
2019-06-01,Balcad,1175.0,174.0
2019-07-01,Balcad,246.0,229.0
2019-08-01,Balcad,124.0,383.0
2019-09-01,Balcad,311.0,315.0
2019-10-01,Balcad,549.0,497.0
2019-11-01,Balcad,678.0,840.0
2019-12-01,Balcad,438.0,864.0
2020-01-01,Balcad,375.0,377.0
